episode,block,version,first_version_in_block,block_started_utc,policy,final_status,report_flag,decision_rule,attempts_consumed,consumed_attempt_ids,research_only_attempt_ids,prefix_categories,indicator,indicator_value,prefix_elapsed_s,indeterminate_reason
etcd5509,15,V_bad,V_ok,2026-09-22T21:50:10.629948Z,P1,ACCEPT,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq88:32b2c0c15207,a2:seq89:c0424bc09519 a3:seq90:c1efb60a22a1,PASS,S,0,0.647,
etcd5509,15,V_bad,V_ok,2026-09-22T21:50:10.629948Z,P3,ACCEPT,,P3: stop at first zero and accept; block after 3 nonzero,1,a1:seq88:32b2c0c15207,a2:seq89:c0424bc09519 a3:seq90:c1efb60a22a1,PASS,S,0,0.647,
etcd5509,15,V_bad,V_ok,2026-09-22T21:50:10.629948Z,P3-retain,ACCEPT,,P3-retain: P3's prefix and decision; accept after a failure is flagged,1,a1:seq88:32b2c0c15207,a2:seq89:c0424bc09519 a3:seq90:c1efb60a22a1,PASS,S,0,0.647,
etcd5509,15,V_ok,V_ok,2026-09-22T21:50:08.554007Z,P1,ACCEPT,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq85:3ef18db5f962,a2:seq86:91c94c301b44 a3:seq87:432d12f0dd1a,PASS,N,0,0.726,
etcd5509,15,V_ok,V_ok,2026-09-22T21:50:08.554007Z,P3,ACCEPT,,P3: stop at first zero and accept; block after 3 nonzero,1,a1:seq85:3ef18db5f962,a2:seq86:91c94c301b44 a3:seq87:432d12f0dd1a,PASS,N,0,0.726,
etcd5509,15,V_ok,V_ok,2026-09-22T21:50:08.554007Z,P3-retain,ACCEPT,,P3-retain: P3's prefix and decision; accept after a failure is flagged,1,a1:seq85:3ef18db5f962,a2:seq86:91c94c301b44 a3:seq87:432d12f0dd1a,PASS,N,0,0.726,
etcd5509,16,V_bad,V_bad,2026-09-22T21:50:56.142798Z,P1,BLOCK,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq91:f59ce43a7338,a2:seq92:07d3e4b000cd a3:seq93:62f5afcee6aa,FOCAL_DEFECT_WITNESS,S,1,43.444,
etcd5509,16,V_bad,V_bad,2026-09-22T21:50:56.142798Z,P3,BLOCK,,P3: stop at first zero and accept; block after 3 nonzero,3,a1:seq91:f59ce43a7338 a2:seq92:07d3e4b000cd a3:seq93:62f5afcee6aa,,FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS,S,1,130.241,
etcd5509,16,V_bad,V_bad,2026-09-22T21:50:56.142798Z,P3-retain,BLOCK,,P3-retain: P3's prefix and decision; accept after a failure is flagged,3,a1:seq91:f59ce43a7338 a2:seq92:07d3e4b000cd a3:seq93:62f5afcee6aa,,FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS | FOCAL_DEFECT_WITNESS,S,1,130.241,
etcd5509,16,V_ok,V_bad,2026-09-22T21:53:06.386579Z,P1,ACCEPT,,"P1: first attempt only; nonzero blocks, zero accepts",1,a1:seq94:1242f3852466,a2:seq95:aa7cdca2e201 a3:seq96:295b3626ba31,PASS,N,0,0.622,
etcd5509,16,V_ok,V_bad,2026-09-22T21:53:06.386579Z,P3,ACCEPT,,P3: stop at first zero and accept; block after 3 nonzero,1,a1:seq94:1242f3852466,a2:seq95:aa7cdca2e201 a3:seq96:295b3626ba31,PASS,N,0,0.622,
etcd5509,16,V_ok,V_bad,2026-09-22T21:53:06.386579Z,P3-retain,ACCEPT,,P3-retain: P3's prefix and decision; accept after a failure is flagged,1,a1:seq94:1242f3852466,a2:seq95:aa7cdca2e201 a3:seq96:295b3626ba31,PASS,N,0,0.622,
